"","row","method","treat","combination","column","blank","fileName","sampling","value","ID"
"174","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s4.txt",4,9,"G_Low_1"
"175","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s3.txt",3,12,"G_Low_1"
"176","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s2.txt",2,11,"G_Low_1"
"177","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s15.txt",15,12,"G_Low_1"
"178","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s14.txt",14,14,"G_Low_1"
"179","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s13.txt",13,5,"G_Low_1"
"180","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s12.txt",12,7,"G_Low_1"
"181","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s10.txt",10,2,"G_Low_1"
"182","D","440,660","flucinc","mono","V2",7,"./flucinc_mono_s1.txt",1,7,"G_Low_1"
"183","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s9.txt",9,91,"R_Low_1"
"184","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s8.txt",8,72,"R_Low_1"
"185","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s7.txt",7,54,"R_Low_1"
"186","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s6.txt",6,152,"R_Low_1"
"187","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s5.txt",5,73,"R_Low_1"
"188","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s4.txt",4,58,"R_Low_1"
"189","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s3.txt",3,6,"R_Low_1"
"190","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s2.txt",2,15,"R_Low_1"
"191","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s15.txt",15,22,"R_Low_1"
"192","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s14.txt",14,20,"R_Low_1"
"193","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s13.txt",13,22,"R_Low_1"
"194","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s12.txt",12,21,"R_Low_1"
"195","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s10.txt",10,113,"R_Low_1"
"196","E","440,660","flucinc","mono","V2",0,"./flucinc_mono_s1.txt",1,3,"R_Low_1"
"197","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s9.txt",9,39,"T_Low_1"
"198","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s8.txt",8,29,"T_Low_1"
"199","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s7.txt",7,23,"T_Low_1"
"200","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s6.txt",6,26,"T_Low_1"
"201","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s5.txt",5,7,"T_Low_1"
"202","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s4.txt",4,6,"T_Low_1"
"203","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s3.txt",3,12,"T_Low_1"
"204","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s2.txt",2,10,"T_Low_1"
"205","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s15.txt",15,41,"T_Low_1"
"206","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s14.txt",14,61,"T_Low_1"
"207","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s13.txt",13,47,"T_Low_1"
"208","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s12.txt",12,56,"T_Low_1"
"209","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s10.txt",10,25,"T_Low_1"
"210","F","440,660","flucinc","mono","V2",3,"./flucinc_mono_s1.txt",1,5,"T_Low_1"
"211","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s9.txt",9,0.074,"A_Low_1"
"212","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s8.txt",8,0.071,"A_Low_1"
"213","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s7.txt",7,0.067,"A_Low_1"
"214","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s6.txt",6,0.057,"A_Low_1"
"215","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s5.txt",5,0.053,"A_Low_1"
"216","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s4.txt",4,0.049,"A_Low_1"
"217","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s3.txt",3,0.048,"A_Low_1"
"218","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s2.txt",2,0.045,"A_Low_1"
"219","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s15.txt",15,0.077,"A_Low_1"
"220","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s14.txt",14,0.083,"A_Low_1"
"221","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s13.txt",13,0.077,"A_Low_1"
"222","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s12.txt",12,0.066,"A_Low_1"
"223","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s10.txt",10,0.075,"A_Low_1"
"224","B","440","flucinc","mono","V2",0.04,"./flucinc_mono_s1.txt",1,0.046,"A_Low_1"
"225","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s9.txt",9,0.059,"D_Low_1"
"226","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s8.txt",8,0.059,"D_Low_1"
"227","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s7.txt",7,0.055,"D_Low_1"
"228","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s6.txt",6,0.05,"D_Low_1"
"229","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s5.txt",5,0.048,"D_Low_1"
"230","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s4.txt",4,0.048,"D_Low_1"
"231","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s3.txt",3,0.047,"D_Low_1"
"232","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s2.txt",2,0.047,"D_Low_1"
"233","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s15.txt",15,0.069,"D_Low_1"
"234","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s14.txt",14,0.063,"D_Low_1"
"235","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s13.txt",13,0.062,"D_Low_1"
"236","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s12.txt",12,0.058,"D_Low_1"
"237","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s10.txt",10,0.063,"D_Low_1"
"238","C","440","flucinc","mono","V2",0.04,"./flucinc_mono_s1.txt",1,0.046,"D_Low_1"
"239","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s9.txt",9,0.047,"G_Low_1"
"240","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s8.txt",8,0.046,"G_Low_1"
"241","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s7.txt",7,0.046,"G_Low_1"
"242","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s6.txt",6,0.045,"G_Low_1"
"243","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s5.txt",5,0.045,"G_Low_1"
"244","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s4.txt",4,0.045,"G_Low_1"
"245","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s3.txt",3,0.045,"G_Low_1"
"246","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s2.txt",2,0.045,"G_Low_1"
"247","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s15.txt",15,0.054,"G_Low_1"
"248","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s14.txt",14,0.051,"G_Low_1"
"249","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s13.txt",13,0.05,"G_Low_1"
"250","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s12.txt",12,0.045,"G_Low_1"
"251","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s10.txt",10,0.046,"G_Low_1"
"252","D","440","flucinc","mono","V2",0.04,"./flucinc_mono_s1.txt",1,0.045,"G_Low_1"
"253","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s9.txt",9,0.065,"R_Low_1"
"254","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s8.txt",8,0.064,"R_Low_1"
"255","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s7.txt",7,0.066,"R_Low_1"
"256","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s6.txt",6,0.066,"R_Low_1"
"257","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s5.txt",5,0.058,"R_Low_1"
